,A,date,C,D,content
0,455420828361175044,2014-04-13 19:02:41,0,0,"#FuerzaValpo - mantenerse informados de los centros de acopio y enviar ayuda útil, no entregar ayuda a cualquiera. https://t.co/d35SlIM4cn"
1,448490109877243904,2014-03-25 16:02:29,0,0,Entrega Becas 2014 Villa Alemana (galeria completa en https://t.co/8jPnLpBI2l) http://t.co/uIMgbifBHY
2,448489856188968961,2014-03-25 16:01:29,0,0,Entrega Becas 2014 Limache-Quillota (galeria completa en https://t.co/FT9RL5IKAR) http://t.co/Jii2pex9zW
3,448489521575768064,2014-03-25 16:00:09,0,0,Entrega Becas 2014 Valparaiso (galeria completa en https://t.co/73ma6Dpg5y) http://t.co/UeuJF4KYOQ
4,448489006683009024,2014-03-25 15:58:06,0,0,Entrega Becas 2014  La Calera (galeria completa en https://t.co/1vbku9tmBe) http://t.co/cPNXogssdP
5,448198512488878080,2014-03-24 20:43:47,0,0,Alumnos universitarios becados del BSE el viernes 29 de marzo de 10-12 hrs se cancela el cheque. Sin falta retirar ese dia.
6,444245818845827072,2014-03-13 22:57:11,0,0,"Camila Donoso, una de nuestras beneficiadas, egresada Diseño Industrial en la PUCV http://t.co/MjPkxS4rA7 http://t.co/2618yrf1UV"
7,444240812767854592,2014-03-13 22:37:18,0,0,Se continuará este año con ayuda oftalmológica a alumnos con problemas visuales en Establecimientos de la Región. http://t.co/BUq26lMDEi
8,423172661187866624,2014-01-14 19:19:59,0,0,Información respecto del Diplomado de Postítulo en Educación Diferencial Inclusiva de la @uvalpochile https://t.co/zRSrHyLEg6
9,419948969934864384,2014-01-05 21:50:11,0,0,El año 2013 contamos con 97 Estudiantes Universitarios de los cuales 6 egresaron en el 1º Semestre. http://t.co/2uNZJ1Eon6
10,419948579659083776,2014-01-05 21:48:38,0,0,"El 2013 se ayudaron a 1.248 alumnos, a los cuales se les entregó útiles y Calzado Escolar. http://t.co/5qm757PE4E"
11,419948241329741824,2014-01-05 21:47:17,0,0,"Campaña de Solidaridad en el Centro Laboral Agustín Turner, el cual capacita a jóvenes con discapacidad intelectual http://t.co/w44MgdPyxy"
12,419947756602413056,2014-01-05 21:45:22,0,0,"Colonias Escolares beneficiaron a 40 alumnos de la Escuela Blas Cuevas Ramón Allende Padín,vacacionarán en Enero 2014 http://t.co/98EfcffOJv"
13,419947012121837569,2014-01-05 21:42:24,0,0,"Concurso Literario 2013, este año el Tema del Concurso fue “El País que yo quiero"" (cont) http://t.co/YhzQr944ig http://t.co/Vb5KYFYHlZ"
